"","funny","user_id","review_id","text","business_id","stars","date","useful","type","cool"
"12",1,"OvD92wp0-uuFoGLBymwfKQ","dJguzIfNKtGkKk8ryOPdfQ","I'm a local Real Estate agent and have fallen in love with all of the AMAZZZZZING Mid-Century Modern properties that the Phoenix and Tempe area have to offer. After listing and selling a few of these COOL homes I decided that I should be more familiar with a few MCM furniture shops that I could buy or lease a higher quality furniture. 

After going in a bunch of places I can say that I really love this store and cant wait to use them to stage my newest listing in a few months at 24th and Indian School.

Let me know if you need help finding a cool house with character to put your amazing finds from Modern on Melrose.

Enjoy

Steven
480-370-5570
stevenonmill@gmail.com","2LfIuF3_sX6uwe-IR-P0jQ",5,"2014-08-23",1,"review",1
"13",0,"5NDk-q5mv8PIDvz83HwMVg","l-yhe0IFJ7WTgEk0qD8yqA","Modern on Melrose is one of our favorite shops on La Curva. It is on the pricey side (of an already pricey shopping experience) but I've had great success for two reasons:

First, the service has been excellent and friendly. We're new to the mcm scene and didn't get snubbed at for not being ""in the know"" -- sadly, this was a welcome relief. 

Second, the selection is good. Yeah, it's always a hunt, but at MOM you aren't going to be sifting through, basically, garbage to find your treasures. With most of the weeding done for you, the store is a much nicer visit.","2LfIuF3_sX6uwe-IR-P0jQ",4,"2015-01-13",0,"review",0
"14",0,"AziQIgYIAY6uVw1k8sbtTw","cNA3oGTmmeRvt10vrvlJOQ","Walked into the store and stuck up a conversation with Shawn behind the counter. We talked about some furniture and other ideas I had for the home. I told him I needed a custom made shelf. Shawn asked some questions and then he sketched out a concept. I loved it. He then said Modern on Melrose has a man that does custom metal work. Three days later-it was done and it turned out better than I could have ever imagined.","2LfIuF3_sX6uwe-IR-P0jQ",5,"2014-08-05",1,"review",0
"15",0,"A65IYKs3FwsyyJH20XOk2w","S_Z5aqlpTVkR9RmYvcPpTQ","What a lovely place. My boyfriend and I went along with my parents (who love mid century modern furniture) just to look as I am moving soon and can't buy any furniture until I relocate, but this shop made me want to move to downtown Phoenix and fill my house with everything in this shop. My thrift-genius parents taught me to buy antique furniture and never ever ever buy new, as new furniture is expensive to buy and cheaply made. Modern on Melrose is fantastic proof of this - my boyfriend fell in love with a yellow leather and wood 70s couch and noticed that this beautiful couch cost less than a couch our friend recently bought at IKEA. And no one is going to buy IKEA couches in antique stores 40 years from now, because they barely last 1 move. 

Everything in this store is gorgeous and there is a great variety of furniture and random decor goods. We ended up buying some great stacking canisters as a gift, and the very helpful employee dashed back to the area we got them and told us they were 40% off. We debated keeping the canisters because they were as affordable as they were quirky and useful and interestingly designed, but the Christmas spirit prevailed and we decided to give them to their original recipient.

The same employee discussed style and furniture things with my father in a very helpful and absolutely non pretentious way, which is a refreshing and fun element of any antique store. I always want to talk to the employees but very often feel they are too busy or want to sound smarter than me (which they are, but I'm not buying anything if the person I'm giving money to makes me feel stupid). I was very struck by how open and helpful the employee was. Great experience. Great selection. Great prices.","2LfIuF3_sX6uwe-IR-P0jQ",5,"2014-12-22",0,"review",1
"16",3,"wnzfuir72IZFg5RAPOwWCQ","klVqdjXPM2aM8Y0RsDCPoA","Unfortunately, Yelp does not allow negative stars. I was very much looking forward to going to Modern on Melrose as my sister had raved about the selection and several purchases she recently made here. I was all set to help her select more furniture for her new home until I experienced a combination of disbelief, shock and horror. 

I was inside the store when I heard a man loudly say ""If you're going to start a sale, finish it!"" It took a few more seconds of loud voices before I realized an argument was taking place between two employees and not two customers, as I initially thought. The male and female employee continued to loudly argue, back and forth. Feeling very uncomfortable, I started to look for my sister. There were about four other customers and we all ended up outside as we all felt very uncomfortable in the store. 

As I was walking out of the store to go out back, I heard the male employee say, in a tone that was beyond anger but instead violent, ""Don't you ever tell me to shut up! Ever!"" Shortly after, he walked past all 5 female customers, who had gathered out back, turned to us and angrily said ""Bitch!"" Not knowing what he was going to do when he returned, we decided to leave as we did not feel safe. 

It is one thing to feel uncomfortable, it is completely unacceptable to not feel safe. The interaction between the two employees was the most unprofessional thing I have ever witnessed. The male and female employee were so caught up in their own negative interaction, neither of them offered any customer service. And after their argument ended, the female employee offered no apologies and still no customer service. 

Today was my first and last time in Modern on Melrose. How terribly sad for this store. I sincerely hope the owners get a handle on this and educate their employees as to what it and isn't acceptable behavior.","2LfIuF3_sX6uwe-IR-P0jQ",1,"2013-11-17",4,"review",2
"17",0,"2N9wrn5A37aOXDrBPIYQdA","Lulhm9mWWcgndcuc_zsgPA","Favorite vintage store I have been in. I have been going to a lot lately looking for midcentury furniture that won't empty out my bank account. Happened to drive by this place and decided to take a look. I got a 3 piece coffee table and side tables set for 60 bucks. Can't beat that. The lady working I completely loved! She was helpful and let me know what kind of stuff will be coming in. This will be a weekly stop for me. 
If you are looking for awesome vintage furniture in good shape this is the place to go. They know their stuff. A lot of awesome lamps and boomerang coffee tables. It is a must visit.

update: seems like items are getting higher and higher. style has changed a bit. still nice stuff if you wanna empty your bank account. no longer a weekly stop but i will still  stop by.","2LfIuF3_sX6uwe-IR-P0jQ",4,"2013-07-10",0,"review",0
"18",0,"oKZiDLm0D1PIm1-vRtvONA","k4xighfFxKv5H-Eic28MNQ","I stumbled upon Modern on Melrose earlier in the week in my search for bedroom furniture. I had been a a few other shops but nothing caught my eye. When I walked in I knew immediately that I was in the right place.

The store is very well curated unlike many other vintage/antique shops. I spent a few minutes looking around (I don't like to be bothered right away when I come in to a store). Cynthia greeted me warmly and I asked her to help me pick out some bedroom furniture. She asked me about my style preferences and showed me around. She noted what I liked and didn't like and made informed recommendations. It took me all of ten minutes to pick out the furniture I wanted. Cynthia actually asked me if I wanted to take some time to consider my purchase (not pushy at all!) and I told her I loved everything and I wanted to take delivery as soon as possible.

I then asked Cynthia to help me find a pair of lamps for the bed side tables I purchased. This time around I wasn't really loving anything but she took the time again to show me around and listen to my input. 

Another reviewer mentioned that their pieces are pricy and that could not be further from the truth. I had found some lower end shops that did not have the quality I was looking for and I also found some very high end shops. Modern on Melrose has excellent prices and the quality to back it up. I was pleasantly surprised by the value they provide.

I was able to have my furniture delivered the next day and I'm loving my new (old) furniture. I highly recommend you check them out!","2LfIuF3_sX6uwe-IR-P0jQ",5,"2014-08-23",0,"review",0
"19",0,"XMRkVYpQAZpWOpia5-MoPw","U617X1icAyAC5hbjsnhcpA","Overall, I'll never go back. Rewinding to the reason of my conclusion: messy racks, bad choice on jewelry, no focus on fits whatsoever, no pricing consistency, and paint-scraping help from the hired help (owner of Red). I felt like I was bothering someone instead of shopping. 

I recommend Retro Ranch, Fashion by Robert Black, France's or the new Vintage shop next to Hula's and Lola Coffee on Central Ave.","0czfEgv9KAD4VlIa7ANPWQ",1,"2010-02-16",1,"review",0
"20",2,"jhhHm3Vk9ZlP21WdY_5R0w","_a7Zu2ZSEGO4bl2gvu7OtQ","I love Mint, and even though I'm a guy and there isn't much for me there, it's a great place for gifts for the lucky gals in my life.  It's definitely worth checking out, despite what the other reviewers have said so far.","0czfEgv9KAD4VlIa7ANPWQ",5,"2009-04-10",2,"review",1
"21",0,"9Cmmt_34PxuC84P1AgmetQ","5hU8Uxdem1j_PEr4HFs5HQ","I read the reviewer before me and checked things out for myself.  I don't know about the size 0-4 comment because I found 3 dresses all over size 8 and some great necklaces all very reasonably priced.  Rumor has it the day to go is Sunday or Monday, which is when more things are added to the inventory.  I also left my name and email because I was looking for a vintage Chanel bag and I got an email when they got one.  I can't afford to shop on the furniture side of the store but I've found a lot of great funky things at mint.","0czfEgv9KAD4VlIa7ANPWQ",5,"2009-01-30",0,"review",0
"22",5,"B7ecAeAIrXg7sgmabS38pg","RAzbLYbgw3tNv8Tu0R7qmQ","Hmmm, what to say about Mint.

Okay, if you are a girl and looking for clothes here, I'd say pass. Unless of course you have a tiny waste and are maybe a size 0-4 on a good day. If you are looking for funky earrings, it might be worth a stop, but the majority of their earring inventory was kinda weird and a little too 80's inspired for my retro taste. If you are looking for stellar quality (and priced accordingly) funky retro furniture, then definitely pop in here as their selection is really cool and there were a ton of pieces that I easily would have purchased. As for the rest, I'd say hit this store up every once in again and see what they have to offer and if they start carrying bigger sizes in dresses, lemme know :)","0czfEgv9KAD4VlIa7ANPWQ",3,"2007-12-15",5,"review",4
"23",1,"mdVHZbSl97wUUoE6hdxeLg","0-emituHrxFvtYJZVhr2tA","I like this Vintage/New shop.  I think they need to do something about getting new (vintage) items in more frequently there are things still there from visiting almost a year ago.  Overall I have bought some great finds there and will most definately go back.","0czfEgv9KAD4VlIa7ANPWQ",3,"2009-09-07",3,"review",2
"24",4,"je5k8a3qIOM0VJE5MaxsfQ","dfL5TyVib8uZgxaNMwx7Aw","I remember really enjoying browsing through Mint (and their furniture friends Red) before, I love mid-century Modern (but what casually reading Dwell but highlighting Ikea pseudo-art bitch DOESN'T?) , I like interesting jewelry, I think the space is really intense, like I am in a dream of some sort.

But I went recently...and I just didn't like it. Sure, these are collectible pieces, goregous condition, the space is well cared for, I don't expect to afford these museum worthy pieces, especially at 11grand for a chair and ottoman (oh god, I hope the ottoman was included in that price....), but the affordable pieces of bracelets, earrings, clothing...um, it was a lot of the same items I saw here over a year ago...actually more like TWO years ago.....so, the inventory isn't very turnovering or fresh...so I guess Mint isn't so fresh?

Overall, I was underwhelmed, I didn't feel particularly welcomed either time I was here, and the stock continues to center on polyster 70s clothing and BCBG tops (?) making an uneven style feel and chilly ambiance.  

Definitely not worth a stop.","0czfEgv9KAD4VlIa7ANPWQ",2,"2009-02-01",3,"review",1
"25",1,"TryfbZaaGtedncOMq9k86g","z5OD5c-nu2v1xwfG0mAIiA","The vintage 1930 beaded earrings are still calling to me.  I can hear them.  Knowing I saw similar ones being sold for $15 at Cost Plus vs the $60 for the vintage ones helps a little - but not much.  

Very cute vintage accessories and clothing.  I almost teared up seeing a super cool crinoline like the one I had in high school.  (Yea, sometimes I was that girl.  We're moving on...)  Really great stuff.  A bit high priced, but not when you consider it's quality. Everything they had was great.  It didn't feel like estate sale shopping, ya know?

Then there's the other 1/2 of the store that is an art gallery.  Somehow it just works.  Here the prices were extremely reasonable.  Some really great stuff too.  

It's behind much of the Roosevelt Row stops, just a bit behind Holgas.  Cool, yet approachable.","0czfEgv9KAD4VlIa7ANPWQ",4,"2007-03-04",2,"review",0
"26",0,"yt1VnahG-MRgU6tswWaUxA","fA2NFb69SvDCsB7WSpY2rw","Well.. Well...well..Ive been highly recomended to check this place out, now that I had a chance to see what the hype was all about. I can see for myself that they had very cool pieces of funiture and retroesque clothes. Very impressed up until I asked for some help and questions, and thats were the place lost its apeal. I was quickly imformed that they delt with very high end resorts and hotels, and as for myself adding these pieces in my store would not be a good idea.I think coming in would be a great experiece for someone to see bad service at its finest.","0czfEgv9KAD4VlIa7ANPWQ",2,"2010-03-01",2,"review",0
"27",1,"wJ0mbYw5WoiaKxiNEayZvg","OiB7X9UxftB0WAWgd2KdJQ","Red's merchandise is amazing. Mint's left a little to be desired...ok alot to be desired. Alright, cranky service be damned (now this is a store within a store. it is all the same service for both. it is  just that Red's merchandise is so untouchable (literally even! ""do not sit"" signs abound) that you almost feel like you deserve the treatment because your lusting after, yet can not afford their wares)..... I have ventored into this spot appx twice a year since it has opened. Why am I still starring at the same clothing? I know my sticky fingers have not picked up a frock I could not live without but then I figured it was because I am  both cheap and picky. A hard to please combo. Seriously though, I have been starring at the same stuff for years now. Boring.","0czfEgv9KAD4VlIa7ANPWQ",3,"2010-05-14",1,"review",1
"28",0,"29rUYREQxeFE6LWGnirgew","ezuT8BpvhLITCfbQEWddsw","I have been consistently underwhelmed by this place since I moved to the hood a year ago. With so many great vintage spots and local boutiques so close why should anyone make the stop at this over priced and under-friendly place? Your lucky if you get so much as a ""Hi!"" here. The vintage clothes are so so and I have been looking at some of the same ones for over a year now. Go to the 7th avenue shops if you want a fun and friendly vintage experience.","0czfEgv9KAD4VlIa7ANPWQ",2,"2011-01-14",1,"review",0
"29",1,"zOU38EUHgUtEI4ziZ8DB1w","IXQgVQJUQoJ6sKxV7-cREQ","I highly doubt anyone uses Yelp to find a place like this, but figured I'd write them a review because WSP rocks!

Anyone in the Phoenix area with a need for any type of specialty fuel...look no further.  Personally I use them to purchase methanol for a water/meth injection kit I have in my car, and their prices are literally the lowest I've seen in the country for methanol.  Paid $3.49/gal today.  In addition to methanol, they sell every type of fuel, oil, lubricant you can imagine.  Race fuel, AvGas, E85.....etc

And different from lots of other industrial-type places, everyone that works here is incredibly helpful and nice.","7GI_V9oLCUGdn2ogqB0IBg",5,"2011-10-19",1,"review",0
"30",0,"hMZ3_yBErMi-pFcquyLJWg","ojtDaz6oAxS74VnAAjb4NQ","This place is great!  I first came here to fuel up my old Mercedes on B99.  Even though I live in East Mesa, I would attempt to get there as often as possible, as they are the only place in the valley that will pump B99.  The staff is always friendly and helpful.  The only complaint I have is that their hours make it difficult for me to get fuel.  I understand this, however, as most of their business is from bulk specialty fuel sales, not B99 fill ups.  In response to Sara U, you really have nothing to worry about for getting 5 gallons of E85.  Your car is already running on 5-10% ethanol every time you fill up with unleaded.  I wouldn't do it on a regular basis, but it is not like you put diesel in a gas vehicle or vise versa.   Just fill up with regular unleaded, then have somebody clear your check engine light for you.  It will probably throw a code about the O2 sensor, not because it is broken, but because the oxygen content of the E85 is higher.  It shouldn't come back on.  And no, I don't work there.  I'm just a scientist who knows a thing or two about fuel!","7GI_V9oLCUGdn2ogqB0IBg",5,"2014-04-26",0,"review",0
"31",1,"9sdni8QHrai8l7ikHsV5Jg","-6wjE08Pf8oWrZQQocEgHg","Dave S can kiss my heini .. I called them to ask if they fuel up regular unleaded gas before going down there and they said yes. They need to inform their customers correctly and label their tanks in addition so it's obvious what they are actually putting into your vehicle. By the way Dave, they put UNLEADED REGULAR fuel (not biofuel) in my tank to dilute the E85 (duh) after they realized they made the mistake. My service engine light has now come on thanks to these idiots.

You obviously work there Dave. Get your facts right.","7GI_V9oLCUGdn2ogqB0IBg",1,"2014-04-23",0,"review",0
"32",0,"PmgqNO0-5Y3e3UoR61TD7w","6-hKBi-6RC3g7Mft0c-6qw","This place is a area staple! Been around for years and not much has changed - I see this as a good thing! Stable and reliable!

My family goes every year for St. Pattys Day corn beef! Very nice place for a bar night dinner, or to catch up with some friends over drinks!","4P-vTvE6cncJyUyLh73pxw",4,"2014-03-29",0,"review",0
"33",0,"kXUySHSlRgVrcR4Aa0HtGQ","tRd0-mPa9O1TMJp_dw5khQ","Got my mojo back after having a few of their appetite teasers. Love LPW for a no-frills bite to eat.","4P-vTvE6cncJyUyLh73pxw",4,"2014-08-14",0,"review",0
"34",0,"SYKPwRhnlKrW6yTvm7oPWg","8Mu56iQ-MYEyivqUVss0XA","Don't go here for the decor, but the staff is friendly and the fried pickles are very tasty.  Good value.","4P-vTvE6cncJyUyLh73pxw",4,"2012-10-20",1,"review",0
"35",0,"7LCG3o2KW2jgKgbKN0DQOg","ToC77cIEiMas9CPU7dt_fA","I believe in awarding stars bearing in mind the type of restaurant reviewed. 

One can tell by the name that LPW won't replace Ohio's lost Maisonette restaurant in Cincy any time soon, nor does it aspire to do so, but for a sports-bar type venue, these folks do it all right, and do so at the right price!
Stopped for lunch on a Saturday.

The lady got a cheeseburger and fries, I got scrod and broccoli, we split an order of their fried pickles as an app.
The pickles were dill spears coated with just the right amount of what was likely a beer batter and deep fried to tangy perfection.
They got the spears vs. chips decision right!

The lady usually looks askew at this type of fare, but happily camped out over the plate and ate her fair share! 
 
And here's the kicker they were under four bucks! 

Kudos Mr. Pickle; you done good!

The fries were very lightly battered and done perfectly, with just the right amount of crispness outside followed by a creamy interior, ... the fry guy here knows his craft!
And the burger was good as well.. ...typical of the genre.  

I find it difficult to fawn excessively over  a burger.

The scrod was a very generous sized portion, nicely caramelized and served with lemon and butter and perfectly done.
When I was given the option of fries or baked potato or rice I asked if there were a green option and broccoli was offered, it was done perfectly as well and the amount was easily enough for two to share.
My dinner came with a salad, which happily WAS NOT from a bag-o-lettuce, but rather freshly cut romaine, a cuke slice or two, carrot shreds and tomato, and it was accompanied by a store bought dinner roll and butter.

The service was quite good, although the waitress appeared to be a bit over-extended, but that's a management issue, not the server's fault.

Happily they are in the Cleveland Entertainment book, and as I had the coupon sitting on the table during the meal, the waitress took the value off of the ticket before it was even presented!
I'm all for efficiency, especially when it affects how quickly I can get out of a restaurant.

That move garnered the fifth star!

We both stated that we will go back in a heartbeat!","4P-vTvE6cncJyUyLh73pxw",5,"2012-08-25",2,"review",1
"36",0,"iSdSNh1hjdE33LOwrFnFrg","6YC4o9yLc25DK8c6soOlaw","If you like fried food and laid back, then this is the place for you.  Nothing that will blow your mind, but the people are great, the restaurant is laid back and casual and the food, while not very creative, is cooked well, presented well and the prices are not ridiculous.","4P-vTvE6cncJyUyLh73pxw",4,"2015-07-27",0,"review",0
"37",0,"catpxxLS6OF5cfjxLvpAbA","T5Xa-KKFqgXdbFnATZA4gg","THE CLASSIC BURGER IS AMAZING.  It's definitely a top ten burger. The fries are good too.","4P-vTvE6cncJyUyLh73pxw",5,"2014-02-24",0,"review",1
"38",0,"Zmp1Q6Ul9VH3zL02Z5ls_A","JYyKOtLznozAlT8P1Foaow","I was not impressed with how gross this place is - I wasn't sure I wanted to order anything. The food was not outstanding. I think I would go across the street to the Tavern!!","4P-vTvE6cncJyUyLh73pxw",2,"2013-03-16",0,"review",0
"39",0,"vzKgTUCV5Pz0gldaeM5j3g","4FnZR30PtlEb1Ifi7S65bg","Okay bar food. Nice bar setting but food is average, service is average and in general doesn't really art itself apart in anything. Would I go there again? Probably if I'm in the area. Would I go out of my way to go there or make note of it to others? Probably not vegetable soup was good though and wings were fairly priced.","4P-vTvE6cncJyUyLh73pxw",3,"2015-09-05",0,"review",0
"40",7,"i8hCMZN-0bHENsHZKHpC-g","6GBjCBVtPGsnQ67neAAkjw","Was boozin and cruisin with my canine comrade. Went all the way out to Hudson via Brecksville/82. Looking for anything to Yelp. Nothing. Not even in the strip mall I used to hit in Hudson on my dry cleaning route back in the day. There was a deli, but it opened at fucking 11! Who even wants to go to a deli after 11? Weak. Breezed through Peninsula. Winking Lizard? Bah. Ended up backtracking through Brecksville and I remembered an old friend. London Pickle Works! Was it still there some four years after I stopped in while house shopping? Yup. Incidentally, investing in a condo down there probably would have made more sense than buying a house in Lakewood. Live and learn.

Cozied up to the bar and ordered a Killians, plus cheesesteak to go(for pooch). Like the Unicorn, food was amazingly done before I could chug my brew. I could get used to this kind of service. The bar was all old men. Matt, I don't know how you do it. They were watching Fox news for chrissakes!! Total was eight dollars! Holy shit. I dropped a three dollar tip on that barmaid's ass. How could I not? A real meal at fast food prices, at fast food speed, served by someone not under house arrest with work privileges. Busted open the styro box. Big sandwich with mushrooms, onions, cheez and beef sliced so thin I swear it was a Steak'um. I never ate those as a kid, but I remember one time my friend had one in his bedroom where we were playing NES. He didn't want it, so we threw it all around the room. Fries were awesome. Also got a pickle. That's eight dollars with the beer, just to recap. Great value, nice location, old men. I won't wait four more years to come back.","4P-vTvE6cncJyUyLh73pxw",4,"2011-05-25",7,"review",6
"41",0,"OdTvOw8NKzaCcsj_dnRZSQ","CdBHQT3WuYuQf-VQ1Um8tQ","Alright, i was about to give it 3 stars bc it's not that great, but it's super cheap... wait, but it's kinda filthy too, so umm, 3, final answer.  The food is edible, but a bum could afford to eat here, so i mean, it sure beats eating out of a dumpster.  Cheap brews, cheaper food.  I think the building is made out of iron, my phone practically turns off whenever I go inside.","4P-vTvE6cncJyUyLh73pxw",3,"2013-02-12",0,"review",0
"42",0,"W4cfK8SxPloWtIXl3JST2g","FFTN8Y1U9G2F_p1dQnxO7A","Okay, so it is a bar with an old fashioned family restaurant attached. We were there almost 2 hours for the Tuesday night burger special. They need more staff. The table was a little sticky. However, the food was delicious. The French fries were nice and crispy, and the Half pound burger didn't taste like a pre-made frozen patty. Our total bill was $15.30 for 2 meals and 2 Cokes. We'll definitely go back.","4P-vTvE6cncJyUyLh73pxw",4,"2016-05-11",0,"review",1
"43",0,"n5P4Cw7F1pCYwVutSTqUPg","VlDz03s9VyODcVi1S9-Yfw","3 stars is fair for this pub. 

The food is good and well priced for a bar. 

Tuesday has $5 burgers and chicken sandwiches. 

The pecan pie is good for dessert. 

I got the chicken dinner, it came with a 6 oz chicken, broccoli, steamed potatoes, salad, and roll. It was ok. I'd stick with the burgers though. The salad was fresh. 

Their fries are really good.","4P-vTvE6cncJyUyLh73pxw",3,"2016-05-04",0,"review",0
"44",0,"ub50UE95-gu7yIoed1zssA","HbnWR7vaXD5FLCcrrMAGhg","Unmmmm, no. It's a bar with tables in the next room. It's feels grungy. Service was good, food, not so much. Praying I don't get sick!
Everything tasted like it came from a can! Nothing fresh or tasty about it. 
Guess who won't be back?","4P-vTvE6cncJyUyLh73pxw",1,"2016-01-23",0,"review",0
"45",0,"57w8gLY3f7OwGmWNtUIFIA","YGfi1F_Fuc_OyemfqQFspg","Have dined in twice now and today was take out for corned beef sandwich. I don't know why I keep thinking this place is going to change. Food is at best ""ok"". The inside is a dive needs some serious updating. This would be ok if this place was a hidden dive bar with amazing food- not the case.
Today's lunch- puke. Dry corned beef, probably the worst I ever have had. 
Lession learned never returning.","4P-vTvE6cncJyUyLh73pxw",1,"2016-03-17",1,"review",0
"46",0,"RlpkcJqctkKXl-LO1IAtig","cTNeflcioISILyhQpt0HDA","This place is very dark and dingy on the inside. It is the cliche of townie bar. The food was just okay but the drinks were super cheap and the service was good.","4P-vTvE6cncJyUyLh73pxw",3,"2016-08-01",0,"review",0
"47",0,"m5iFZbW5hSNPNplx-vGkyA","FM3Uo0F_2BHp1JdxR5nqvQ","This small tavern, has great burgers and the best fries within 100 miles!  It's simple, unpretentious, and the folks are mellow and ready to accommodate their customers.  I understand they added music on the weekend and will surely check it out on the weekend.","4P-vTvE6cncJyUyLh73pxw",4,"2013-06-12",1,"review",1
"48",2,"1-xPzJk_ijBvY2J8Re1DIQ","Pqe0NlNUcxzEnUXALZviuA","The food is typical.  Wait how much was my meal... Then that food is awesome!  Very friendly atmosphere.  Prompt service.  Diner/Bar type place with no particular theme.  (Sorry if there is an attempted theme.  I didn't see it.)  Not a foodie spot or hidden gem, but something about this place just feels... nice.

Side note: My apologies for my complete unintentional dine and dash.  Wrong card.  Also sorry to the other guest whose bill I signed for them.","4P-vTvE6cncJyUyLh73pxw",3,"2011-04-01",0,"review",0
"49",0,"oPQAJEiJnRrD0Km5RlKmtw","vAuh2cggRJI1ZUqiZDEjHQ","There'a a reason that everyone loves this place; it's your typical neighborhood bar in the evening (it's typically middle-aged locals, not a rowdy crowd) but it's also a great place to grab a nice meal with your family during the day. They also have a fish fry every Friday during Lent. The food is really good for bar food, and it's very reasonably priced. Obviously, this is not five star fine dining, but if you're looking for a cheap and inviting place to hang out with friends and family, this is a great place, and the food is great for what it is.","4P-vTvE6cncJyUyLh73pxw",5,"2016-08-14",0,"review",0
"50",1,"bZBPVRIGQZ0WXRYLtYXbYQ","sKStdKdvO5nIn1ZN0OC-cg","Not particularly good. Bathroom is nasty. Food decent. Terrible cell phone signal and no WiFi. Probably won't return.","4P-vTvE6cncJyUyLh73pxw",2,"2013-04-01",2,"review",1
